,date,1. open,2. high,3. low,4. close,5. volume
299,2020-02-11 10:35:00,322.1898,322.426,322.13,322.18,276909.0
1138,2020-01-27 12:05:00,309.406,309.8637,309.3533,309.6261,286614.0
1137,2020-01-27 12:10:00,309.585,310.27,309.53,310.23,445557.0
684,2020-02-04 11:00:00,317.38,317.53,317.03,317.48,337143.0
190,2020-02-12 13:10:00,325.08,325.21,324.759,324.87,293178.0
533,2020-02-06 10:35:00,320.52,320.95,320.39,320.91,298817.0
542,2020-02-06 09:50:00,321.5404,322.2625,321.3824,321.8637,417695.0
843,2020-01-31 10:45:00,315.726,316.81,315.6701,315.78,617628.0
225,2020-02-12 10:15:00,322.5271,322.8,322.48,322.6,401378.0
497,2020-02-06 13:35:00,323.695,324.0,323.6456,323.98,259429.0
937,2020-01-29 15:55:00,325.08,325.26,324.43,324.5,902333.0
588,2020-02-05 12:30:00,321.29,321.47,321.0807,321.36,174348.0
959,2020-01-29 14:05:00,326.6806,328.16900000000004,326.5674,327.8106,914731.0
685,2020-02-04 10:55:00,316.46,317.45,316.46,317.35,428452.0
677,2020-02-04 11:35:00,318.09,319.0656,317.9306,319.05,572686.0
1026,2020-01-28 15:00:00,317.69,318.37,317.6862,318.35,485866.0
521,2020-02-06 11:35:00,322.51,322.85,322.48,322.83,221582.0
1090,2020-01-28 09:40:00,313.3926,313.9405,313.2098,313.2199,778589.0
1041,2020-01-28 13:45:00,316.26,316.45,316.23,316.38,165738.0
22,2020-02-14 14:10:00,324.42,324.44,324.12,324.26,121171.0
389,2020-02-10 09:35:00,314.1913,317.7749,314.1416,317.4914,2896376.0
559,2020-02-05 14:55:00,320.96,321.5,320.95,321.4925,337106.0
605,2020-02-05 11:05:00,320.7529,321.4376,320.697,320.7529,428218.0
414,2020-02-07 14:00:00,321.33,321.42,320.71,320.74,299392.0
1081,2020-01-28 10:25:00,313.0117,313.5936,312.8028,313.3072,380956.0
1155,2020-01-27 10:40:00,310.12,310.8,310.07,310.5201,386154.0
828,2020-01-31 12:00:00,316.12,316.83,316.09,316.77,282952.0
935,2020-01-30 09:35:00,320.5482,323.3998,320.4072,323.1253,2495686.0
187,2020-02-12 13:25:00,325.17,325.18,324.7626,324.88,153301.0
284,2020-02-11 11:50:00,322.14,322.17,321.97,322.0983,176653.0
1061,2020-01-28 12:05:00,316.5324,316.58,316.33,316.445,209590.0
802,2020-01-31 14:10:00,313.3442,313.45,312.67,312.7,462586.0
1086,2020-01-28 10:00:00,313.43,313.61,312.68,312.97,605807.0
1050,2020-01-28 13:00:00,316.45,316.77,316.43,316.7,202539.0
1110,2020-01-27 14:30:00,310.8132,311.08,310.77,310.9599,163178.0
199,2020-02-12 12:25:00,324.505,324.67,324.4,324.6144,140093.0
579,2020-02-05 13:15:00,320.48,320.74,320.355,320.38,139415.0
108,2020-02-13 13:30:00,324.8345,325.28,324.8345,325.25,166040.0
557,2020-02-05 15:05:00,321.265,321.73,321.265,321.69,338850.0
420,2020-02-07 13:30:00,322.15,322.33,322.07,322.2234,170807.0
171,2020-02-12 14:45:00,325.04,325.198,325.003,325.0032,167812.0
1078,2020-01-28 10:40:00,314.4112,314.6366,314.23,314.51,455898.0
481,2020-02-06 14:55:00,324.985,325.0,324.66,324.72,138027.0
734,2020-02-03 13:20:00,306.895,307.3559,306.3851,307.017,619277.0
669,2020-02-04 12:15:00,318.0,318.38,317.82,317.97,295914.0
1117,2020-01-27 13:50:00,310.5332,310.8173,310.45,310.72,169201.0
1127,2020-01-27 13:00:00,311.41,311.48,310.91,311.18,306291.0
500,2020-02-06 13:20:00,323.86,324.0,323.69,323.78,194538.0
898,2020-01-30 12:40:00,320.86,320.94,320.07,320.14,346035.0
253,2020-02-11 14:25:00,320.86,321.28,320.52,320.58,322830.0
934,2020-01-30 09:40:00,323.1313,323.9459,323.02,323.94,883791.0
951,2020-01-29 14:45:00,327.04,327.43,326.85,326.96,270697.0
1168,2020-01-27 09:35:00,308.9731,309.7198,306.1864,309.1281,5705852.0
202,2020-02-12 12:10:00,324.49,324.55,324.27,324.3113,148697.0
939,2020-01-29 15:45:00,326.6586,326.9715,325.9756,326.0797,830809.0
31,2020-02-14 13:25:00,324.51,324.6,324.43,324.54,146797.0
243,2020-02-11 15:15:00,320.09,320.19,319.3,319.33,378095.0
867,2020-01-30 15:15:00,320.83,321.27,320.64,321.0405,269186.0
293,2020-02-11 11:05:00,322.81,323.06,322.7532,322.87,177288.0
594,2020-02-05 12:00:00,320.99,321.42,320.83,321.37,226002.0
824,2020-01-31 12:20:00,316.215,316.3775,316.09,316.2588,188670.0
315,2020-02-10 15:45:00,320.845,321.02,320.83,320.95,201731.0
54,2020-02-14 11:30:00,325.2716,325.2716,324.96,325.0999,177122.0
326,2020-02-10 14:50:00,319.76,320.3273,319.71,320.2349,301227.0
1149,2020-01-27 11:10:00,309.91,309.91,309.0,309.1638,300521.0
403,2020-02-07 14:55:00,319.5728,320.0463,319.351,319.4776,252900.0
925,2020-01-30 10:25:00,322.74,322.99,322.52,322.64,347495.0
1141,2020-01-27 11:50:00,309.5699,309.6,309.15,309.15,252879.0
38,2020-02-14 12:50:00,324.36,324.48,324.31,324.3108,103751.0
480,2020-02-06 15:00:00,324.69,324.8,324.5,324.5,159204.0
541,2020-02-06 09:55:00,321.82,321.9,321.6418,321.9,315843.0
1060,2020-01-28 12:10:00,316.46,316.75,316.46,316.61,220203.0
305,2020-02-11 10:05:00,321.7301,322.41,321.64,321.71,367023.0
49,2020-02-14 11:55:00,324.72,325.04,324.7,324.94,172196.0
835,2020-01-31 11:25:00,316.0,316.12,315.5134,315.5134,361865.0
514,2020-02-06 12:10:00,322.36,322.62,322.28,322.475,202491.0
467,2020-02-07 09:35:00,322.38,322.73,321.0255,321.0255,2171611.0
800,2020-01-31 14:20:00,312.9791,313.2134,312.36,312.4,396148.0
408,2020-02-07 14:30:00,318.76,319.75,318.66,319.6075,457749.0
435,2020-02-07 12:15:00,322.94,323.0737,322.77,323.0737,127667.0
40,2020-02-14 12:40:00,324.63,324.645,324.52299999999997,324.6445,90156.0
233,2020-02-12 09:35:00,321.665,323.16,321.53,322.9996,1709032.0
516,2020-02-06 12:00:00,322.35,322.51,321.65,321.65,357472.0
916,2020-01-30 11:10:00,319.8507,320.22,319.8001,319.9903,416715.0
736,2020-02-03 13:10:00,308.28,308.5516,307.6103,307.69,401507.0
140,2020-02-13 10:50:00,324.5,324.92,324.43,324.69,352241.0
30,2020-02-14 13:30:00,324.51,324.53,324.19,324.24,133204.0
624,2020-02-04 16:00:00,318.48,319.15,318.45,318.86,1229312.0
955,2020-01-29 14:25:00,326.93,327.24,326.62,326.6201,294906.0
191,2020-02-12 13:05:00,325.3,325.3,325.065,325.0654,250223.0
691,2020-02-04 10:25:00,315.3803,316.0625,315.3318,315.7027,467718.0
852,2020-01-31 10:00:00,317.6384,318.47,317.6384,318.42,870405.0
124,2020-02-13 12:10:00,325.2775,325.62,325.2775,325.545,155744.0
593,2020-02-05 12:05:00,321.35,321.365,321.07099999999997,321.18,141004.0
708,2020-02-03 15:30:00,308.7924,309.2058,308.6754,308.9078,293296.0
181,2020-02-12 13:55:00,324.95,324.96,324.86,324.8959,143019.0
603,2020-02-05 11:15:00,321.39,321.5,321.07,321.19,354465.0
762,2020-02-03 11:00:00,311.4691,312.42,311.46,312.3326,484208.0
827,2020-01-31 12:05:00,316.76,316.91,316.36,316.6285,299437.0
84,2020-02-13 15:30:00,325.0595,325.215,324.9,325.215,143302.0
897,2020-01-30 12:45:00,320.12,320.829,319.88,320.6601,364299.0
773,2020-02-03 10:05:00,310.8,312.0655,310.79,311.8303,1263384.0
73,2020-02-14 09:55:00,324.4201,324.47,324.07,324.3458,381147.0
424,2020-02-07 13:10:00,322.6299,322.75,322.55,322.69,120243.0
526,2020-02-06 11:10:00,321.8352,322.41900000000004,321.8084,322.0852,233701.0
107,2020-02-13 13:35:00,325.23,325.4756,325.03,325.38,113316.0
871,2020-01-30 14:55:00,320.68,321.0,320.01,320.25,246140.0
405,2020-02-07 14:45:00,319.74,320.24,319.51,319.94,298912.0
606,2020-02-05 11:00:00,320.2,321.2,319.95,320.78,516916.0
938,2020-01-29 15:50:00,326.0636,326.3637,325.0924,325.0963,886294.0
699,2020-02-04 09:45:00,315.43,315.85,314.68,314.68,849400.0
926,2020-01-30 10:20:00,323.1924,323.37,322.5837,322.7186,517494.0
772,2020-02-03 10:10:00,311.8282,312.1322,311.0211,311.4797,949522.0
300,2020-02-11 10:30:00,321.89,322.21,321.85,322.1936,202549.0
246,2020-02-11 15:00:00,320.97,321.05,320.54,320.68,164458.0
781,2020-01-31 15:55:00,309.69,310.2,309.5,309.97,1084499.0
127,2020-02-13 11:55:00,324.9002,325.1,324.8601,324.96,105360.0
1122,2020-01-27 13:25:00,311.18,311.5,311.04,311.09,222329.0
146,2020-02-13 10:20:00,325.1,325.15,324.92,324.9201,307360.0
1158,2020-01-27 10:25:00,310.2761,311.0746,309.9087,310.7461,632439.0
1156,2020-01-27 10:35:00,311.1308,311.2,310.07,310.1,401080.0
1049,2020-01-28 13:05:00,316.71,316.75,316.22,316.28,234347.0
740,2020-02-03 12:50:00,310.15,310.17,309.33,309.575,373550.0
1006,2020-01-29 10:10:00,321.9629,323.5196,321.6879,322.6617,1144225.0
462,2020-02-07 10:00:00,321.17,321.48,320.97,321.21,480764.0
498,2020-02-06 13:30:00,323.92,323.9864,323.69,323.69,157522.0
33,2020-02-14 13:15:00,324.52,325.09,324.515,324.905,246251.0
119,2020-02-13 12:35:00,325.59,325.8001,325.5069,325.58,137190.0
439,2020-02-07 11:55:00,322.66,322.74,322.44,322.7203,172902.0
219,2020-02-12 10:45:00,323.1403,323.6572,323.1067,323.1803,335632.0
391,2020-02-07 15:55:00,319.68,319.8985,319.46,319.7659,635620.0
337,2020-02-10 13:55:00,319.4125,319.53,319.38,319.45,127441.0
869,2020-01-30 15:05:00,321.0402,321.8755,320.9495,321.5462,384022.0
613,2020-02-05 10:25:00,321.85,322.14,321.5801,321.76,253786.0
1053,2020-01-28 12:45:00,316.87,316.9,316.69,316.7311,174922.0
640,2020-02-04 14:40:00,319.0424,319.36,318.995,319.17,183724.0
151,2020-02-13 09:55:00,325.13,325.681,325.12,325.6807,489632.0
